URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,,
27,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,14,36,-0.439999991,0.058548009,10,0.429742389,4.171896956,10,367,854,3415,0,5.362836723,,
28,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,16,20,-0.111111108,0.06360424,14,0.54770318,5.819081272,14,310,566,2319,9,5.753043478,,
29,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,13,20,-0.212121206,0.06043956,8,0.421245421,3.368498168,8,230,546,2166,6,5.190916737,,
30,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,20,18,0.052631578,0.061093247,18,0.440514469,7.376205788,18,274,622,2773,16,5.029538462,,
31,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,25,14,0.282051275,0.058646616,10,0.440601504,4.176240602,10,293,665,2840,9,5.325459318,,
32,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,13,2,0.733333284,0.062240664,14,0.539419087,5.815767635,14,130,241,983,0,5.616161616,,
33,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,30,29,0.016949152,0.088855422,95,0.478915663,38.19156627,95,318,664,3094,15,4.826987682,,
34,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,11,0,0.999999909,0.026190476,12,0.511904762,5.004761905,12,215,420,1722,0,5.439511654,,
35,https://insights.blackcoffer.com/evolution-of-advertising-industry/,7,3,0.39999996,0.029411765,16,0.491176471,6.596470588,16,167,340,1302,0,5.719941349,,
36,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,2,4,-0.333333278,0.045454545,132,0.393939394,52.95757576,132,52,132,538,2,5.830449827,,
37,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,14,33,-0.404255311,0.103982301,10,0.42699115,4.17079646,10,193,452,1793,30,5.294350842,,
38,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,5,39,-0.772727255,0.07051282,14,0.415064103,5.766025641,14,259,624,2382,2,5.244065282,,
39,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,6,7,-0.076923071,0.044067796,12,0.433898305,4.973559322,12,128,295,1237,3,5.043600563,,
40,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,28,44,-0.222222219,0.096644295,8,0.429530201,3.371812081,8,320,745,3319,10,5.049840933,,
41,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,17,1,0.88888884,0.060200669,9,0.471571906,3.788628763,9,141,299,1156,4,5.34488189,,
42,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,2,1,0.333333222,0.017142857,12,0.371428571,4.948571429,12,65,175,666,0,5.1184573,,
43,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,11,10,0.047619045,0.046357616,17,0.408388521,6.963355408,17,185,453,1725,4,5.062054934,,
45,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,6,4,0.19999998,0.034482759,21,0.517241379,8.606896552,21,150,290,1147,1,5.813743219,,
46,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,8,6,0.142857133,0.100719424,6,0.510791367,2.604316547,6,71,139,705,0,5.300268097,,
47,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,2,0,0.9999995,0.026666666,8,0.533333333,3.413333333,8,40,75,297,1,5.486842105,,
48,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,15,13,0.071428569,0.089171974,6,0.353503185,2.541401274,6,111,314,1371,16,4.874843554,,
49,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,3,0,0.999999667,0.044117646,11,0.352941176,4.541176471,11,24,68,287,1,4.826589595,,
50,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,16,21,-0.135135131,0.066427289,19,0.522441652,7.808976661,19,291,557,2206,0,5.866163996,,
51,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,1,17,-0.88888884,0.081447963,12,0.524886878,5.009954751,12,116,221,941,9,5.198841699,,
52,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,13,19,-0.187499994,0.073903002,9,0.383371824,3.75334873,9,166,433,1788,7,4.935700576,,
53,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,11,38,-0.551020397,0.0625,16,0.482142857,6.592857143,16,378,784,3265,14,5.583680762,,
54,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,17,17,0,0.050595238,15,0.398809524,6.15952381,15,268,672,2963,18,4.872663551,,
55,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,8,19,-0.407407392,0.046312178,8,0.404802744,3.361921098,8,236,583,2465,15,4.997194951,,
56,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,14,5,0.473684186,0.06354515,6,0.451505017,2.580602007,6,135,299,1393,1,4.745644599,,
57,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,33,6,0.692307675,0.082627118,8,0.478813559,3.391525424,8,226,472,2298,4,4.68579627,,
58,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,11,6,0.29411763,0.112582781,11,0.57615894,4.630463576,11,87,151,828,8,4.784313725,,
59,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,27,13,0.349999991,0.058309038,17,0.50728863,7.002915452,17,348,686,2972,6,5.344516129,,
60,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,7,50,-0.754385952,0.152,6,0.413333333,2.565333333,6,155,375,1723,5,4.988601036,,
61,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,28,16,0.272727267,0.102803738,8,0.268691589,3.307476636,8,115,428,1752,5,4.730347349,,
62,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,9,43,-0.653846141,0.098298677,16,0.342155009,6.536862004,16,181,529,1885,4,5.049694856,,
63,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,11,13,-0.08333333,0.03652968,14,0.435312024,5.77412481,14,286,657,2542,8,5.412837345,,
64,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,7,56,-0.777777765,0.162790697,6,0.418604651,2.56744186,6,162,387,1763,6,4.997981837,,
65,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,24,36,-0.199999997,0.100166945,12,0.407345576,4.96293823,12,244,599,2507,5,4.909967846,,
66,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,1,9,-0.79999992,0.028735632,17,0.413793103,6.965517241,17,144,348,1343,1,5.29105474,,
67,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,5,23,-0.64285712,0.049557522,19,0.414159292,7.765663717,19,234,565,2167,1,5.512842466,,
68,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,6,50,-0.785714272,0.068543452,15,0.418604651,6.16744186,15,342,817,3362,6,5.286263736,,
69,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,6,128,-0.910447754,0.097738877,9,0.320933625,3.72837345,9,440,1371,5388,2,5.256442489,,
70,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,8,33,-0.609756083,0.056865465,12,0.414701803,4.965880721,12,299,721,2988,6,5.13153259,,
71,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,16,37,-0.396226408,0.070385126,15,0.490039841,6.196015936,15,369,753,2776,0,5.585113715,,
72,https://insights.blackcoffer.com/human-rights-outlook/,0,0,0,0,12,0.382978723,4.953191489,12,18,47,237,2,4.777777778,,
73,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,14,2,0.749999953,0.041884817,11,0.45026178,4.580104712,11,172,382,1618,1,5.113561191,,
74,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,25,30,-0.090909089,0.081481481,6,0.411851852,2.564740741,6,278,675,3029,5,5.066592675,,
75,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,13,15,-0.071428569,0.03943662,10,0.512676056,4.205070423,10,364,710,3039,5,5.207309766,,
76,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,1,18,-0.894736795,0.041942605,13,0.401766004,5.360706402,13,182,453,1795,2,5.183495146,,
77,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,3,44,-0.872340407,0.061277705,14,0.426336375,5.77053455,14,327,767,3003,1,5.371718377,,
78,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,3,23,-0.76923074,0.063106796,12,0.424757282,4.969902913,12,175,412,1670,3,5.208826695,,
79,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,8,38,-0.652173899,0.095041322,7,0.429752066,2.971900826,7,208,484,2081,35,4.935510888,,
80,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,14,24,-0.263157888,0.0861678,13,0.46031746,5.384126984,13,203,441,1919,11,5.046168052,,
81,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,6,33,-0.692307675,0.065656566,18,0.417508418,7.367003367,18,248,594,2238,3,5.737830914,,
82,https://insights.blackcoffer.com/travel-and-tourism-outlook/,0,1,-0.999999,0.016949152,10,0.372881356,4.149152542,10,22,59,298,2,4.632768362,,
83,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,13,26,-0.333333325,0.085152838,9,0.371179039,3.748471616,9,170,458,1777,13,4.92506938,,
84,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,2,19,-0.809523771,0.076923077,14,0.36996337,5.747985348,14,101,273,1034,3,5.180904523,,
85,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,8,41,-0.673469374,0.09245283,12,0.401886792,4.960754717,12,213,530,1979,2,5.338461538,,
86,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,5,26,-0.677419333,0.080310881,15,0.360103627,6.144041451,15,139,386,1741,5,4.858365019,,
87,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,2,1,0.333333222,0.016042781,16,0.470588235,6.588235294,16,88,187,716,0,5.785907859,,
88,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,6,2,0.499999938,0.033195021,12,0.381742739,4.952697095,12,92,241,985,2,4.890034364,,
89,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,4,42,-0.826086939,0.095041322,25,0.400826446,10.16033058,25,194,484,1814,1,5.479041916,,
90,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,6,10,-0.249999984,0.071748879,14,0.246636771,5.698654709,14,55,223,1073,36,4.364285714,,
91,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,3,39,-0.857142837,0.093126386,19,0.394678492,7.757871397,19,178,451,1762,1,5.540429887,,
92,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,8,36,-0.636363622,0.096916299,12,0.396475771,4.958590308,12,180,454,1828,0,5.474626866,,
93,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,7,28,-0.599999983,0.070422535,12,0.408450704,4.963380282,12,203,497,1822,1,5.493467337,,
94,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,9,38,-0.617021263,0.089184061,14,0.400379507,5.760151803,14,211,527,2113,7,5.166666667,,
95,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,21,52,-0.424657528,0.110105581,10,0.37254902,4.149019608,10,247,663,2591,3,4.951854262,,
96,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,14,46,-0.533333324,0.074257426,12,0.402227723,4.960891089,12,325,808,3041,7,5.133482894,,
97,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,5,24,-0.655172391,0.092651757,17,0.236421725,6.89456869,17,74,313,1313,42,4.310747664,,
98,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,19,67,-0.558139528,0.101534829,18,0.396694215,7.358677686,18,336,847,3187,11,5.437360179,,
99,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,7,15,-0.363636347,0.045833333,7,0.385416667,2.954166667,7,185,480,2142,7,4.653322658,,
100,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,4,14,-0.555555525,0.114649681,10,0.433121019,4.173248408,10,68,157,569,1,5.529595016,,
101,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,15,91,-0.716981125,0.102217936,13,0.384763742,5.353905497,13,399,1037,3608,1,5.306963524,,
102,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,6,35,-0.707317056,0.078393881,9,0.370936902,3.748374761,9,194,523,2544,34,4.561392405,,
103,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,12,58,-0.657142848,0.101156069,9,0.393063584,3.757225434,9,272,692,2929,10,5.117192148,,
104,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,12,50,-0.612903216,0.082446808,17,0.426861702,6.970744681,17,321,752,3174,16,5.286283438,,
105,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,19,65,-0.547619041,0.09190372,15,0.448577681,6.179431072,15,410,914,3535,8,5.481755685,,
106,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,22,25,-0.063829786,0.06056701,14,0.448453608,5.779381443,14,348,776,3170,3,5.300110742,,
107,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,5,26,-0.677419333,0.084699453,13,0.390710383,5.356284153,13,143,366,1460,2,5.171324423,,
108,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,5,77,-0.87804877,0.111111111,12,0.384823848,4.953929539,12,284,738,2841,6,5.356234097,,
109,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,13,37,-0.47999999,0.127226463,10,0.460559796,4.184223919,10,181,393,1700,3,5.049484536,,
110,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,0,12,-0.999999917,0.043636363,14,0.392727273,5.757090909,14,108,275,1102,1,5.42114094,,
111,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,4,30,-0.76470586,0.043870968,70,0.343225806,28.13729032,70,266,775,3006,2,5.591486658,,
112,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,31,27,0.068965516,0.06744186,14,0.43372093,5.773488372,14,373,860,3138,0,5.438648488,,
113,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,8,20,-0.428571413,0.045901639,11,0.459016393,4.583606557,11,280,610,2472,5,5.407243163,,
114,https://insights.blackcoffer.com/continued-demand-for-sustainability/,23,25,-0.041666666,0.093023256,14,0.496124031,5.798449612,14,256,516,1977,1,6.059898477,,
115,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,2,10,-0.666666611,0.0625,16,0.494791667,6.597916667,16,95,192,739,4,5.782485876,,
116,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,1,1,0,0.017543859,10,0.315789474,4.126315789,10,36,114,525,4,4.622222222,,
117,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,0,12,-0.999999917,0.079999999,14,0.453333333,5.781333333,14,68,150,633,4,4.942558747,,
118,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,0,5,-0.9999998,0.058823529,17,0.470588235,6.988235294,17,40,85,396,4,5.227906977,,
119,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,3,12,-0.59999996,0.147058822,26,0.411764706,10.56470588,26,42,102,453,6,5.294605809,,
120,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,9,2,0.636363579,0.071895424,9,0.496732026,3.79869281,9,76,153,541,0,5.829861111,,
121,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,4,54,-0.862068951,0.132723112,9,0.3798627,3.75194508,9,166,437,1720,0,5.021421616,,
122,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,2,37,-0.897435874,0.105121294,14,0.361185984,5.744474394,14,134,371,1581,4,5.015690377,,
123,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,11,51,-0.64516128,0.079283887,12,0.452685422,4.981074169,12,354,782,3226,0,5.249440716,,
124,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,3,7,-0.39999996,0.037313433,10,0.332089552,4.132835821,10,89,268,986,1,5.167785235,,
125,https://insights.blackcoffer.com/ensuring-growth-through-insurance-technology/,13,17,-0.133333329,0.061099796,10,0.464358452,4.185743381,10,228,491,1957,1,5.139853748,,
126,https://insights.blackcoffer.com/blockchain-in-fintech/,5,12,-0.411764682,0.040963855,13,0.457831325,5.38313253,13,190,415,1787,2,5.31496063,,
127,https://insights.blackcoffer.com/blockchain-for-payments/,9,19,-0.357142844,0.06763285,11,0.388888889,4.555555556,11,161,414,1584,9,5.581901489,,
128,https://insights.blackcoffer.com/the-future-of-investing/,20,6,0.538461518,0.03880597,10,0.423880597,4.169552239,10,284,670,2680,2,5.21143617,,
129,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,9,40,-0.632653048,0.089416058,9,0.496350365,3.798540146,9,272,548,2066,2,5.188561215,,
130,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,14,6,0.39999998,0.057471264,18,0.545977011,7.418390805,18,190,348,1372,0,5.891176471,,
131,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,11,42,-0.584905649,0.111111111,8,0.406708595,3.362683438,8,194,477,1830,8,5.15542522,,
132,https://insights.blackcoffer.com/obstacles-to-data-driven-healthcare/,10,35,-0.555555543,0.066765579,15,0.421364985,6.168545994,15,284,674,2601,4,5.120759837,,
133,https://insights.blackcoffer.com/monetization-of-data-innovate-to-harvest-the-full-value-of-data/,29,8,0.567567552,0.065371025,15,0.459363958,6.183745583,15,260,566,2165,0,5.941947566,,
134,https://insights.blackcoffer.com/traceability-of-information-master-your-data-capital/,11,34,-0.5111111,0.079646018,18,0.502654867,7.401061947,18,284,565,2215,10,5.9,,
135,https://insights.blackcoffer.com/bank-risk-management-india/,16,25,-0.21951219,0.075506446,10,0.386740331,4.154696133,10,210,543,2052,0,5.083053691,,
136,https://insights.blackcoffer.com/advance-analytics-for-refocusing-profits/,30,24,0.111111109,0.085308057,11,0.500789889,4.600315956,11,317,633,2399,0,5.684210526,,
137,https://insights.blackcoffer.com/role-of-big-data-analytics-banking-and-finance/,6,12,-0.333333315,0.047493404,14,0.419525066,5.767810026,14,159,379,1405,0,5.216931217,,
138,https://insights.blackcoffer.com/mitigating-bank-risk-management/,14,28,-0.333333325,0.062874251,15,0.435628743,6.174251497,15,291,668,2433,3,5.311243485,,
139,https://insights.blackcoffer.com/future-of-bank-risk-management/,6,24,-0.59999998,0.087719298,10,0.432748538,4.173099415,10,148,342,1424,2,5.169787765,,
140,https://insights.blackcoffer.com/advanced-analytics-redefining-banking/,17,23,-0.149999996,0.056980057,14,0.514245014,5.805698006,14,361,702,2833,16,5.302488832,,
141,https://insights.blackcoffer.com/marketing-analytics-needs/,27,7,0.588235277,0.053125,11,0.503125,4.60125,11,322,640,2640,5,5.506032647,,
142,https://insights.blackcoffer.com/big-data-analytics-to-bring-transparency-and-good-governance/,26,15,0.268292676,0.096470588,14,0.48,5.792,14,204,425,1588,0,5.613095238,,
143,https://insights.blackcoffer.com/how-political-leaders-will-shape-tomorrow-using-big-data-analytics/,21,13,0.235294111,0.064150943,16,0.467924528,6.587169811,16,248,530,2206,0,5.329743165,,
144,https://insights.blackcoffer.com/big-data-and-analytics-to-help-form-political-leaders-win-election/,10,20,-0.333333322,0.066964286,10,0.504464286,4.201785714,10,226,448,1748,3,5.301470588,,
145,https://insights.blackcoffer.com/the-emergence-of-data-analytics/,2,5,-0.428571367,0.025,12,0.471428571,4.988571429,12,132,280,1029,1,5.477443609,,
146,https://insights.blackcoffer.com/how-artificial-intelligence-can-deliver-real-value-to-companies-2/,27,14,0.317073163,0.059766764,13,0.45335277,5.381341108,13,311,686,2674,5,5.304613297,,
147,https://insights.blackcoffer.com/the-prospective-recipe-of-success-in-the-age-of-analytics/,10,17,-0.25925925,0.047957371,12,0.48312611,4.993250444,12,272,563,2264,7,5.284235669,,
148,https://insights.blackcoffer.com/using-people-analytics-to-drive-business-performance/,3,9,-0.499999958,0.04494382,10,0.445692884,4.178277154,10,119,267,1230,4,5.01754386,,
149,https://insights.blackcoffer.com/how-artificial-intelligence-can-deliver-real-value-to-companies/,15,31,-0.347826079,0.090909091,9,0.42687747,3.770750988,9,216,506,2125,6,5.200858369,,
150,https://insights.blackcoffer.com/big-data-analytics-through-iot-in-oil-and-gas-industry/,23,43,-0.303030298,0.081381011,14,0.453760789,5.781504316,14,368,811,3035,1,5.663258786,,
151,https://insights.blackcoffer.com/how-big-data-and-analytics-is-helping-marketing-leaders/,12,9,0.142857136,0.041420118,11,0.524654832,4.609861933,11,266,507,2119,4,5.44593387,,
